timestamp,model,speaker,text,duration,output_path
2025-11-01 05:43:06,kokoro,am_santa,"""My heart breaks into a million pieces, I can't believe they're gone.""",4.62,static/output/kokoro_1761972185.wav
2025-11-01 05:51:54,kokoro,am_santa,"""My heart breaks into a million pieces, I can't believe they're gone.""",4.62,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761972704.wav
2025-11-01 05:52:45,kokoro,zm_yunyang,"""My heart breaks into a million pieces, I can't believe they're gone.""",4.33,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761972764.wav
2025-11-01 05:52:57,kokoro,af_sarah,"""My heart breaks into a million pieces, I can't believe they're gone.""",4.70,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761972775.wav
2025-11-01 05:53:11,kokoro,if_sara,"""My heart breaks into a million pieces, I can't believe they're gone.""",3.90,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761972790.wav
2025-11-01 05:53:34,kokoro,af_bella,"""My heart breaks into a million pieces, I can't believe they're gone.""",4.80,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761972813.wav
2025-11-01 05:53:57,kokoro,af_bella,"""My heart breaks into a million pieces, I can't believe they're gone.""",4.80,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761972836.wav
2025-11-01 05:54:49,kokoro,af_bella,"1. Hello there! This is a simple clarity test for my local TTS system.  
2. Testing one, two, three ...",6.17,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761972887.wav
2025-11-01 05:59:19,kokoro,af_alloy,"Hello, this is a test of GPU monitoring.",3.80,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973150.wav
2025-11-01 06:00:57,kokoro,af_alloy,GPU monitoring is working perfectly.,3.65,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973248.wav
2025-11-01 06:03:20,kokoro,af_sarah,"Once upon a time, in a quiet workshop, a curious developer built a voice that could talk, sing, and ...",7.25,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973398.wav
2025-11-01 06:07:45,kokoro,af_sarah,"Once upon a time, in a quiet workshop, a curious developer built a voice that could talk, sing, and ...",30.18,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973649.wav
2025-11-01 06:08:02,kokoro,af_sarah,"This is the first line.
This is the second line.
This is the third line.",7.38,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973680.wav
2025-11-01 06:08:46,kokoro,af_sarah,"Once upon a time, in a quiet workshop, a curious developer built a voice that could talk, sing, and ...",30.18,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973718.wav
2025-11-01 06:09:50,kokoro,af_sarah,"1. Hello there! This is a simple clarity test for my local TTS system.  
2. Testing one, two, three ...",29.65,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973781.wav
2025-11-01 06:10:38,kokoro,af_sarah,"1: Hello there! This is a simple clarity test for my local TTS system.  
2. Testing one, two, three ...",29.68,/Users/user/Desktop/local-tts-devlopment/app/static/output/kokoro_1761973831.wav
